en,nl,pos,description
close,sluiten,verb,
comment,reactie,noun,
completed,afgerond,noun,
conjunction,conjunctie,noun,
content,inhoud,noun,"Binnen WordPress verwijst 'content' meestal naar de inhoud van een bericht. Daarom wordt dit altijd vertaald naar 'inhoud'. "
"content type",contenttype,noun,
Content-Disposition,Content-Disposition,noun,"REST API-specifieke vertaling."
contributer,bijdrager,noun,"gezien de rol kan het geen auteur/schrijver zijn"
coupon,waardebon,noun,
"credit card",creditcard,noun,
critical,kritieke,adjective,"Zoals bijvoorbeeld in 'critical error'. "
crop,bijsnijden,verb,
"custom post type","extra berichttype",noun,
customizer,customizer,noun,
database,database,noun,
deactivate,deactiveer(en),noun,"Alternatief afhankelijk van de content ""uitschakelen"""
delete,verwijderen,verb,
delist,"verwijderen van lijst",expression,
deprecated,verouderd,noun,"Wordt gebruikt als een functie of call niet meer gebruikt wordt."
depreciated,"niet meer ondersteund",noun,"In samenhang met een functie, die verwijderd wordt/niet meer gebruikt"
description,beschrijving,noun,
device,apparaat,noun,
directory,folder,noun,"Als het gaat om wp-content e.d."
dismiss,negeren,verb,
"displays [location]","wordt [op locatie] getoond. ",expression,"Voorbeeld 1: Displays below the content area. > Wordt onder de inhoud getoond.
Voorbeeld 2: Displays to the right of the logo. > Wordt rechts van het logo getoond."
download,download,verb,
draft,concept,noun,
"drag and drop",verslepen,verb,
dropdown,dropdown,noun,"en dropdown-menu."
edit,bewerken,verb,
editor,"editor, redacteur",noun,"De text editor blijft de editor.
Een desktop text editor wordt tekstbewerker.
De rol editor wordt redacteur."
email,e-mail,noun,"In de Nederlandse taal is het gebruikelijk om een koppelstreep na de 'e' te plaatsen."
"email addresss",e-mailadres,noun,
embed,insluiten,verb,
endpoint,endpoint,noun,"Als het gaat om een REST API-endpoint."
error,fout,noun,
etc.,enz.,interjection,
excerpt,samenvatting,noun,
"Excerpt View","Samenvatting weergave",expression,
expression,uitdrukking,noun,
"featured image","uitgelichte afbeelding",expression,
"featured media","uitgelichte media",expression,
"filter by",filteren,verb,
flip,spiegelen,verb,
"focus keyphrase","focus keyphrase",noun,
folder,map,noun,
font,lettertype,noun,
footer,footer,noun,
format,format,noun,
formats,formaten,noun,
forums,forums,noun,
"front page",voorpagina,noun,
frontpage,voorpagina,noun,
galleries,galerijen,noun,
gallery,galerij,noun,
"gift card",cadeaubon,expression,
header,header,noun,
"header image",kopafbeelding,noun,
"home page of homepage",homepage,noun,"Volgens woordenboek is homepagina ook goed, alleen voor consistentie gebruiken we homepage."
hover,hoveren,verb,
icon,pictogram,noun,
image,afbeelding,noun,
images,afbeeldingen,noun,
importer,importeerfunctie,noun,
interjection,tussenwerpsel,noun,
invalid,ongeldig,adjective,
keyphrase,keyphrase,noun,
keyword,keyword,noun,
layout,lay-out,noun,
"lazy load",lazy-load,noun,"Wordt niet vertaald maar opgemaakt zoals lay-out"
"lazy loaded",,noun,lazy-loaded
"lazy loading",lazy-loading,noun,
"license key",licentiesleutel,noun,
limit,beperken,verb,"REST API-specifieke vertaling."
"line height",regelafstand,expression,
links,links,noun,
"List View","Lijst weergave",expression,
location,locatie,noun,"Met een c, niet met een k."
log,log,noun,"Blijft log en geen logboek!"
"log file",logbestand,noun,
login,login,noun,"niet omkeren naar inlog vanwege consitentie"
"main menu",hoofdmenu,noun,
major/minor,grote/kleine,noun,"major/minor updates"
masonry,masonry,noun,"Is een term wordt dus niet vertaald met metselwerk!"
"media file",mediabestand,noun,"In de Nederlandse taal is dit één woord. We schrijven dit niet los."
menu,menu,noun,
menu-item,menu-item,noun,"Is een begrip wordt niet vertaald"
menus,menu&#39;s,noun,
message,bericht,noun,"en dus geen melding"
"meta description","meta description",noun,
"multiline textarea","tekstveld met meerdere regels",noun,
namespace,namespace,noun,"technische term, vertalen we niet"
note:,"let op:",expression,"In het geval van een waarschuwing gebruiken we de vertaling 'Let op:'. 
Gaat het slechts om neutrale informatie, dan vertalen we 'Note:' met 'Opmerking:'."
notice,bericht,noun,
noun,"zelfstandig naamwoord",noun,
object,object,noun,"In de context van het variabele-type of JSON-object."
"open source","open source",noun,
order,bestelling,noun,"Naar kleine letter omgezet i.v.m. irritante foutmeldingen in o.a. Glotdict"
Order,Volgorde,noun,
P.S,PS,noun,"Postscriptum wordt in het Nederlands aan elkaar in hoofdletters geschreven."
padding,padding,noun,"css term"
page,pagina,noun,
"page break",pagina-einde,noun,
pages,pagina&#39;s,noun,
panel,"paneel of scherm",noun,
parent,hoofd,noun,
password,wachtwoord,noun,
placeholder,plaatshouder,noun,"dus geen tijdelijke tekst"
plugin,plugin,noun,"En geen plug-in."
"plugin directory","plugin directory",expression,"Wordt niet vertaald als het gaat om vertaling van de core v.w.b. het plaatsen van plugins door ontwikkelaars. Anders wordt directory wel vertaald met ""map"" "
popup,pop-up,noun,
post,bericht,noun,
"post format",berichtformat,noun,
"post type",berichttype,noun,
posts,berichten,noun,
preposition,voorzetsel,noun,
pronoun,voornaamwoord,noun,
purge,opschonen,noun,"alternatief is zuiveren, het is dus geen verwijderen"
rating,waardering,noun,
reactivate,"opnieuw activeren",verb,
relist,"toevoegen aan lijst",expression,
remove,verwijderen,noun,
report,rapport,noun,
request,aanvraag,noun,"REST API-specifieke vertaling."
resize,"formaat aanpassen",noun,"Dit kan beide kanten op zijn, dus vergroten of verkleinen (dus geen verkleinen gebruiken)"
resource,gegevensbron,noun,
response,reactie,noun,"REST API-specifieke vertaling."
responsive,responsive,adjective,
"REST API","REST API",noun,"Moet zonder ""-"" zijn "
"result set",resultaten,expression,"REST API-specifieke vertaling."
review,beoordeling,noun,
rotate,roteren,verb,
run,uitvoeren,verb,"Soms 'draaien', zoals: op 'internet meedraaien' en soms 'gebruikt' zoals in: 'je gebruikt versie 4.6'"
save,opslaan,noun,
saved,opgeslagen,noun,
"screen options",scherminstellingen,noun,
screenshot,schermafbeelding,noun,
search,zoeken,noun,
"search engine",zoekmachine,noun,
secret,geheim,noun,"In context van 'key' vertalen naar 'geheime sleutel'.
In context van 'login' of ID vertalen naar 'wachtwoord'."
"secret key","geheime sleutel",expression,
select,selecteren,verb,
Select,Selecteer,noun,"Voorkomt irritante melding bij vertalen"
sending,verzenden,verb,
sent,verzonden,verb,
"shopping cart",winkelwagen,noun,"Niet verkleinen naar winkelwagentje, het symbool is van een winkelwagen"
sidebar,zijbalk,noun,
site,site,noun,"Geen website of blog"
"site health",sitediagnose,expression,"In het verleden is gekozen voor: Site health is sitediagnose 
Vervolgens wordt  het ook
sitediagnosestatus
sitediagnosecontrole
sitediagnosetest
"
"site logo",site-logo,noun,
Slider,slider,noun,
slug,slug,noun,
sticky,sticky,noun,
string,string,noun,"Niet vertalen naar 'tekenreeks' dus"
tab,tab,noun,"Meervoud tabs"
tag/tagged,tag/getagd,verb,
tagline,slogan,noun,
tap,tikken,verb,
template,template,noun,
testimonial,aanbeveling,noun,
"Thank you",Bedankt,noun,
theme,thema,noun,
themes,thema&#39;s,noun,
thread,thread,noun,"Technische term"
thumbnail,thumbnail,noun,
timestamp,tijdstempel,noun,
toggle,toggle,noun,"Wordt niet vertaald omdat er in het Nederlands verschillende woorden voor zijn afhankelijk van de content"
toolbar,toolbar,noun,
Tools,Gereedschap,noun,"Voor het hoofdmenu Tools, maar ook alle aanverwante verwijzingen gebruiken we het woord gereedschap."
topic(s),onderwerp(en),noun,
trash,prullenbak,noun,
unapprove,weigeren,verb,
unapproved,geweigerd,verb,
update,update,noun,
verb,werkwoord,noun,
view,bekijken,verb,"Dit kan gebruikt worden in de context als 'View site'. Vertaling is in dit geval: 'Site bekijken'."
"visual editor","visuele editor",noun,
"web browser",internetbrowser,noun,
website,site,noun,"eenduidig maken t.o.v. site"
WooCommerce,WooCommerce,noun,"Grote W en C"
WordCamp,WordCamp,noun,"Capital W & C"
WordPress,,noun,"Grote W en P"
"WordPress core","WordPress core",noun,"we vertalen core niet"
you,je,noun,"En geen jij of u. Voor de Nederlandse vertaling gebruiken we informeel taalgebruik."
"you are not allowed to","je hebt geen toestemming om",expression,
your,je,noun,"En geen jouw of uw. Voor de Nederlandse vertaling gebruiken we informeel taalgebruik."
